Index;surface_yx_20/10.min(epsX) [%];surface_yx_20/10.max(epsX) [%];surface_yx_20/10.avg(epsX) [%];surface_yx_30/15.min(epsX) [%];surface_yx_30/15.max(epsX) [%];surface_yx_30/15.avg(epsX) [%];surface_yx_40/20.min(epsX) [%];surface_yx_40/20.max(epsX) [%];surface_yx_40/20.avg(epsX) [%];surface_yx_20/10.min(epsY) [%];surface_yx_20/10.max(epsY) [%];surface_yx_20/10.avg(epsY) [%];surface_yx_30/15.min(epsY) [%];surface_yx_30/15.max(epsY) [%];surface_yx_30/15.avg(epsY) [%];surface_yx_40/20.min(epsY) [%];surface_yx_40/20.max(epsY) [%];surface_yx_40/20.avg(epsY) [%];surface_yx_20/10.min(patQ) [];surface_yx_20/10.max(patQ) [];surface_yx_20/10.avg(patQ) [];surface_yx_30/15.min(patQ) [];surface_yx_30/15.max(patQ) [];surface_yx_30/15.avg(patQ) [];surface_yx_40/20.min(patQ) [];surface_yx_40/20.max(patQ) [];surface_yx_40/20.avg(patQ) []
31;-0.847360;0.925272;0.065892;-0.486979;0.512166;0.056152;-0.107814;0.431378;0.061013;-2.588623;0.696094;-0.912130;-2.323567;0.208926;-0.849384;-2.262845;0.127099;-0.873988;2.136811;8.765748;5.080842;2.765967;8.416885;5.205973;2.781988;8.309547;5.322458
32;-1.017869;0.864257;0.148289;-0.444745;0.604386;0.139522;-0.059161;0.512097;0.143620;-2.894365;0.386422;-1.287450;-2.676418;-0.001577;-1.218672;-2.648044;-0.154698;-1.245038;2.070866;8.937992;5.090332;2.793088;8.408574;5.218019;2.828740;8.339813;5.337125
33;-0.829095;0.951594;0.069353;-0.335318;0.462269;0.058132;-0.111010;0.389705;0.062301;-2.542425;0.740154;-0.947686;-2.314449;0.225403;-0.885922;-2.259409;0.133746;-0.909011;2.090551;8.730315;5.088091;2.766404;8.342082;5.215995;2.801673;8.310286;5.329225
34;-0.831504;0.824330;0.172576;-0.333619;0.603263;0.162296;-0.066869;0.524863;0.166602;-2.914900;0.351597;-1.319555;-2.703409;0.033192;-1.249870;-2.657477;-0.168243;-1.275888;2.069882;8.949803;5.095602;2.763342;8.466754;5.225606;2.796998;8.294045;5.343356
35;-0.880317;0.868706;0.070802;-0.333417;0.491879;0.058713;-0.152243;0.438533;0.064100;-2.511104;0.716186;-0.997715;-2.266502;0.230255;-0.933473;-2.231085;0.119352;-0.957695;2.119094;8.767716;5.085734;2.796588;8.398951;5.210510;2.824557;8.308809;5.328920
36;-0.772334;0.897478;0.161416;-0.359890;0.586155;0.150071;-0.057263;0.500833;0.154506;-2.860594;0.644333;-1.378148;-2.676821;0.047736;-1.303387;-2.596567;-0.171486;-1.331880;2.117126;8.919291;5.080016;2.771216;8.336395;5.208869;2.781496;8.254183;5.326285
37;-0.846867;0.932163;0.075670;-0.315788;0.496171;0.063331;-0.166389;0.433975;0.068751;-2.521698;0.814785;-1.046944;-2.314379;0.249654;-0.980406;-2.235948;0.112384;-1.004999;2.171260;8.891732;5.087105;2.752843;8.408574;5.211703;2.756398;8.265994;5.330789
38;-0.869827;1.247344;0.159212;-0.418162;0.608265;0.146285;-0.074529;0.536175;0.152213;-2.980574;0.602304;-1.455994;-2.743100;0.025570;-1.379353;-2.714691;-0.193420;-1.408038;2.072835;8.828740;5.083034;2.828521;8.405512;5.209554;2.815945;8.254429;5.325759
39;-0.843569;1.136555;0.077782;-0.281909;0.496855;0.066542;-0.123369;0.426633;0.071959;-2.535728;0.815139;-1.109609;-2.356992;0.242454;-1.037037;-2.322963;0.130536;-1.064435;2.110236;8.883859;5.085305;2.721785;8.380140;5.215248;2.774606;8.239911;5.328327
40;-1.149915;1.094692;0.174314;-0.602320;0.614912;0.160894;-0.057170;0.542861;0.167073;-2.897126;0.668493;-1.602393;-2.697743;0.022752;-1.516832;-2.617076;-0.210288;-1.545895;2.164370;8.769685;5.093503;2.724409;8.482502;5.223207;2.792815;8.256643;5.339479
41;-0.897569;0.955643;0.082158;-0.395420;0.475186;0.068782;-0.139808;0.414729;0.073978;-2.593222;0.783383;-1.250043;-2.343842;0.238350;-1.169617;-2.303604;0.121728;-1.197110;2.082677;8.927165;5.083186;2.755468;8.338145;5.213759;2.796752;8.318159;5.328053
42;-1.203705;1.116018;0.182120;-0.685661;0.611639;0.168612;-0.051343;0.576714;0.174586;-3.063871;0.776417;-1.675091;-2.742576;0.054664;-1.580918;-2.625509;-0.132429;-1.610789;2.174213;8.677165;5.088371;2.741907;8.580928;5.217828;2.752461;8.254921;5.332732
43;-1.108708;0.878084;0.084928;-0.455774;0.525920;0.071304;-0.149538;0.474409;0.076921;-2.650865;0.854732;-1.339030;-2.393682;0.242244;-1.250605;-2.294753;0.056993;-1.279791;2.116142;9.010827;5.088916;2.715661;8.476815;5.218781;2.760089;8.299212;5.333942
44;-1.047959;1.009401;0.179142;-0.624704;0.629395;0.165041;-0.057241;0.592168;0.171003;-3.140473;0.649953;-1.716728;-2.760604;-0.001336;-1.623412;-2.663644;-0.163251;-1.653430;2.145669;8.744095;5.090044;2.681977;8.589676;5.216553;2.799705;8.250738;5.333060
45;-1.113407;0.918247;0.093995;-0.474449;0.527147;0.078294;-0.172601;0.499477;0.084957;-2.695930;0.537622;-1.377420;-2.354577;0.279431;-1.288926;-2.288297;0.060758;-1.316891;2.135827;8.833661;5.089602;2.743220;8.538495;5.215025;2.777559;8.320867;5.333315
46;-1.122299;1.044611;0.177971;-0.598401;0.592413;0.164405;-0.124161;0.538031;0.170430;-3.140152;0.372097;-1.775874;-2.781987;0.039337;-1.679894;-2.661917;-0.195866;-1.709788;2.143701;8.834645;5.083647;2.719598;8.413385;5.213687;2.795768;8.235974;5.330542
47;-1.012169;0.848539;0.097076;-0.453926;0.572262;0.081952;-0.202189;0.508914;0.089248;-2.696649;0.497489;-1.423122;-2.372070;0.245718;-1.332227;-2.331266;0.132771;-1.361209;2.140748;8.871063;5.082420;2.711286;8.346019;5.208323;2.738927;8.329232;5.326496
48;-1.068321;1.088784;0.201953;-0.517667;0.644161;0.185881;-0.040702;0.576252;0.191320;-3.094017;0.779272;-2.029023;-2.852759;0.203092;-1.929193;-2.766052;-0.170353;-1.973924;2.176181;8.848425;5.093165;2.726597;8.538933;5.224292;2.808563;8.364911;5.339715
49;-0.795785;0.949713;0.117181;-0.430402;0.545795;0.100945;-0.133906;0.497547;0.107522;-2.726790;0.876867;-1.655947;-2.462103;0.469888;-1.559430;-2.418301;0.077774;-1.600951;2.115157;8.922244;5.087733;2.751531;8.483814;5.216288;2.782726;8.334153;5.331333
50;-1.158029;1.132661;0.242833;-0.655639;0.722813;0.225020;0.034982;0.584473;0.231204;-3.280499;-0.028173;-2.274147;-2.967767;-0.168234;-2.235988;-2.880952;-0.220666;-2.254603;2.089567;8.762795;5.092049;2.776903;8.494751;5.219962;2.813976;8.425935;5.338511
51;-0.850805;0.951788;0.126428;-0.406929;0.580353;0.109538;-0.070971;0.533223;0.115831;-2.744213;0.378517;-1.865349;-2.523663;0.211629;-1.831609;-2.470758;0.131562;-1.847774;2.128937;8.986220;5.085291;2.717410;8.383639;5.215461;2.797982;8.312746;5.333491
52;-1.319526;1.077136;0.257818;-0.604203;0.742899;0.239175;0.058301;0.665992;0.246079;-3.330799;-0.206055;-2.437319;-3.016248;-0.437920;-2.405131;-2.935787;-0.734054;-2.410883;2.178150;8.801181;5.095092;2.732721;8.399825;5.222376;2.782480;8.417077;5.339963
53;-0.851671;1.021943;0.152815;-0.503223;0.583966;0.134492;-0.040644;0.563558;0.140433;-2.823049;0.163764;-2.024054;-2.577280;-0.057864;-1.992855;-2.482055;-0.354240;-1.999852;2.077756;8.873032;5.089834;2.714786;8.447944;5.218823;2.828494;8.289371;5.336567
54;-1.662357;1.122039;0.259019;-0.675311;0.760545;0.243687;0.035399;0.693160;0.248412;-3.293480;-0.991590;-2.558156;-3.092881;-1.312903;-2.515706;-3.006522;-1.659789;-2.526858;2.180118;8.803149;5.090460;2.780402;8.416885;5.223039;2.779528;8.331201;5.337643
